Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members,Annual Member Sign-Ups (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm)
5/1/14,29448,8129332,51.32,"14,000,335",104903,138,780,94
5/2/14,35590,8164922,60.514,"14,060,849",105041,192,1192,144
5/3/14,28254,8193176,61.95,"14,122,799",105233,152,2440,150
5/4/14,23450,8216626,43.926,"14,166,724",105385,159,1479,77
5/5/14,33706,8250332,58.904,"14,225,628",105544,219,842,127
5/6/14,35977,8286309,62.455,"14,288,083",105763,197,836,100
5/7/14,36210,8322519,58.617,"14,346,700",105960,195,799,91
5/8/14,19518,8342037,28.9,"14,375,600",106155,105,303,20
5/9/14,24990,8367027,37.118,"14,412,718",106260,111,537,59
5/10/14,24179,8391206,44.945,"14,457,663",106371,133,1617,74
5/11/14,31551,8422757,71.587,"14,529,250",106504,161,2768,145
5/12/14,35209,8457966,61.465,"14,590,714",106665,246,935,124
5/13/14,36281,8494247,59.204,"14,649,918",106911,204,737,125
5/14/14,33087,8527334,52.063,"14,701,982",107115,164,586,75
5/15/14,28847,8556181,45.347,"14,747,329",107279,129,566,76
5/16/14,19561,8575742,27.664,"14,774,993",107408,114,218,22
5/17/14,33141,8608883,71.372,"14,846,365",107522,130,2968,141
5/18/14,30026,8638909,61.977,"14,908,341",107652,154,2476,124
5/19/14,34763,8673672,56.666,"14,965,008",107806,226,914,124
5/20/14,38928,8712600,66.578,"15,031,586",108032,194,1145,141
5/21/14,37493,8750093,61.069,"15,092,655",108226,146,897,115
5/22/14,26753,8776846,39.65,"15,132,305",108372,121,470,40
5/23/14,26895,8803741,42.128,"15,174,433",108493,108,793,84
5/24/14,18503,8822244,35.805,"15,210,238",108601,109,1532,105
5/25/14,28266,8850510,68.798,"15,279,036",108710,115,3535,144
5/26/14,29819,8880329,70.712,"15,349,748",108825,169,3095,143
5/27/14,36165,8916494,63.451,"15,413,199",108994,253,1196,162
5/28/14,32666,8949160,49.67,"15,462,869",109247,164,533,79
5/29/14,37184,8986344,60.222,"15,523,091",109411,144,930,108
5/30/14,37875,9024219,65.24,"15,588,331",109555,167,1191,118
5/31/14,30659,9054878,61.976,"15,650,307",109722,139,2305,129
6/1/14,34597,9089475,75.594,"15,725,901",109861,212,2912,168
6/2/14,38143,9127618,68.186,"15,794,087",110073,277,1099,150
6/3/14,32504,9160122,52.767,"15,846,854",110350,238,702,119
6/4/14,39747,9199869,66.953,"15,913,807",110588,170,950,135
6/5/14,27165,9227034,44.714,"15,958,521",110758,146,692,81
6/6/14,41291,9268325,72.887,"16,031,408",110904,164,1668,128
6/7/14,34417,9302742,74.549,"16,105,957",111068,116,2888,165
6/8/14,33432,9336174,73.196,"16,179,153",111184,162,2704,117
6/9/14,20545,9356719,32.252,"16,211,405",111346,127,394,43
6/10/14,36959,9393678,59.916,"16,271,321",111473,167,783,117
6/11/14,33809,9427487,55.193,"16,326,514",111640,121,691,105
